Gietrzwałd              2015,        5345,
Gilowice-Ślemień        1918,        4942,
Gizałki                 1747,        5203,
Giżycko                 2147,        5402,
Glinojeck               2017,        5249,
Gliwice                 1840,        5017,
Głębokie                2741,        5508,
Głogów                  1605,        5139,
Głogów Malopolski       2158,        5009,
Głogówek                1751,        5021,
Głowaczów               2120,        5138,
Głowno                  1943,        5158,
Główczyce               1722,        5437,
Głubczyce               1750,        5012,
Głuchołazy              1723,        5019,
Głuchów                 2004,        5147,
Głusk                   2236,        5112,
Głuszyca                1622,        5041,
Gniew                   1849,        5351,
Gniewino                1801,        5443,
Gniewkowo               1825,        5254,
Gniewoszów              2149,        5128,
Gniezno                 1736,        5232,
Gnojnik                 2036,        4954,
Gnojno                  2051,        5037,
Godkowo                 1954,        5405,
Godów                   1829,        4956,
Godzianów               2002,        5153,
Godziesze Wielkie       1811,        5139,
Godziszów               2229,        5046,
Gogolin                 1802,        5030,
Golczewo                1458,        5359,
Goleniów                1449,        5333,
Goleszów                1844,        4944,
Golina                  1806,        5215,
Golub-Dobrzyń           1903,        5307,
Gołańcz                 1718,        5257,
Gołcza                  1955,        5021,
Gołdap                  2218,        5418,
Gołuchów                1756,        5151,
Gołymin-Ośrodek         2053,        5248,
Gomunice                1929,        5110,
Goniądz                 2244,        5329,
Goraj                   2241,        5043,
Gorlice                 2110,        4940,
Gorzkowice              1936,        5113,
Gorzków                 2300,        5056,
Gorzów Śląski           1826,        5102,
Gorzów Wielkopolski     1514,        5244,
Gorzyce katowickie    1824,        4958,
Gorzyce tarnobrzeskie 2150,        5040,
Gostycyn                1748,        5329,
Gostynin                1928,        5225,
Gostyń                  1701,        5153,
Goszczanów              1831,        5147,
Goszczyn                2052,        5144,
Gościeradów             2200,        5052,
Gościno                 1538,        5403,
Gowarczów               2027,        5117,
Goworowo                2134,        5254,
Gozdnica                1506,        5126,
Gozdowo                 1941,        5244,
Góra                    1633,        5140,
Góra Kalwaria           2113,        5159,
Góra Świętej Małgorzaty 1919,        5203,
Górno                   2049,        5051,
Górowo Iławieckie       2030,        5417,
Górzno siedleckie     2143,        5151,
Górzno toruńskie      1938,        5312,
Górzyca                 1438,        5229,
Gózd                    2123,        5123,
Grabica                 1932,        5129,
Grabowiec               2333,        5049,
Grabowo                 2209,        5328,
Grabów                  1901,        5207,
Grabów nad Pilicą       2114,        5144,
Grabów nad Prosną       1807,        5130,
Grajewo                 2227,        5339,
Granowo                 1632,        5213,
Grążawy                 1934,        5315,
Grębków                 2155,        5216,
Grębocice               1610,        5136,
Gręboszów               2047,        5015,
Grębów                  2153,        5034,
Grodków                 1723,        5042,
Grodno                  2350,        5341,
Grodziczno              1946,        5325,
Grodziec                1804,        5202,
Grodzisk                2245,        5235,
Grodzisk Mazowiecki     2037,        5206,
Grodzisk Wielkopolski   1622,        5214,
Grodzisko Dolne         2228,        5010,
Gromadka                1546,        5122,
Gromnik                 2057,        4950,
Gronowo Elbląskie       1918,        5405,
Gródek                  2340,        5306,
Gródek nad Dunajcem     2044,        4945,
Grójec                  2052,        5152,
Grudusk                 2036,        5304,
Grudziądz               1846,        5329,
Grunwald                2005,        5333,
Gruta                   1858,        5327,
Grybów                  2057,        4938,
Gryfice                 1512,        5354,
Gryfino                 1429,        5315,
Gryfów Śląski           1525,        5102,
Grzegorzew              1844,        5212,
Grzmiąca                1626,        5350,
Gubin                   1443,        5157,
Gzy                     2056,        5245,
Haczów                  2154,        4940,
Hajnówka                2335,        5245,
Halinów                 2121,        5214,
Hanna                   2331,        5143,
Hańsk                   2324,        5124,
Harasiuki               2229,        5028,
Haźlach                 1837,        4948,
Hel                     1848,        5436,
Herby                   1853,        5040,
Horodło                 2403,        5054,
Horyniec                2322,        5012,
Hrubieszów              2353,        5048,
Huszlew                 2250,        5208,
Hyżne                   2211,        4955,
Igołomia-Wawrzeńczyce   2018,        5006,
Iława                   1934,        5336,
Iłowa                   1512,        5130,
Iłowo-Osada             2018,        5310,
Iłów                    2002,        5221,
Iłża                    2115,        5110,
Imielno                 2026,        5035,
Inowłódz                2013,        5132,
Inowrocław              1815,        5248,
Ińsko                   1532,        5326,
Irządze                 1941,        5038,
Istebna                 1854,        4934,
Iwaniska                2116,        5044,
Iwanowice               1959,        5014,
Iwierzyce               2146,        5002,
Iwkowa                  2035,        4950,
Iwonicz-Zdrój           2148,        4934,
Izbica                  2310,        5054,
Izbica Kujawska         1846,        5225,
Izbicko                 1810,        5034,
Jabłonka                1942,        4929,
Jabłonna lubelskie    2236,        5105,
Jabłonna warszawskie  2054,        5223,
Jabłonna Lacka          2227,        5229,
Jabłonowo               1904,        5324,
Jabłonowo Pomorskie     1904,        5324,
Jabłoń                  2305,        5143,
Jadów                   2138,        5229,
Jaktorów                2032,        5205,
Jakubów                 2141,        5213,
Janikowo                1806,        5245,
Janowice Wielkie        1555,        5053,
Janowiec                2154,        5119,
Janowiec Kościelny      2031,        5318,
Janowiec Wielkopolski   1729,        5245,
Janowo                  2040,        5319,
Janów częstochowskie  1926,        5043,
Janów białostockie    2314,        5328,
Janów Lubelski          2225,        5042,
Janów Podlaski          2313,        5212,
Jaraczewo               1718,        5158,
Jarczów                 2335,        5026,
Jarocin tarnobrzeskie 2220,        5034,
Jarocin kaliskie      1730,        5158,
Jarosław                2242,        5002,
Jasienica               1856,        4949,
Jasienica Rosielna      2157,        4945,
Jasieniec               2056,        5149,
Jasień                  1501,        5145,
Jasionówka              2302,        5324,
Jasło                   2128,        4944,
Jastarnia               1840,        5442,
Jastków                 2227,        5119,
Jastrowie               1649,        5326,
Jastrząb                2057,        5114,
Jastrzębia              2112,        5128,
Jastrzębie-Zdrój        1835,        4957,
Jaświły                 2258,        5324,
Jawor                   1612,        5104,
Jawornik Polski         2217,        4954,
Jaworzno                1916,        5013,
Jaworzyna Śląska        1626,        5055,
Jedlicze                2138,        4943,
Jedlina-Zdrój           1621,        5043,
Jedlińsk                2102,        5131,
Jedlnia-Letnisko        2119,        5126,
Jednorożec              2103,        5309,
Jedwabne                2218,        5317,
Jedwabno                2044,        5332,
Jelcz-Laskowice         1719,        5101,
Jelenia Góra            1544,        5054,
Jeleniewo               2255,        5413,
Jeleśnia                1919,        4939,
Jemielnica              1823,        5033,
Jemielno                1633,        5132,
Jerzmanowa              1603,        5136,
Jerzmanowice-Przeginia  1945,        5012,
Jeziora Wielkie         1816,        5232,
Jeziorany               2045,        5358,
Jeziorzany              2217,        5136,
Jeżewo                  1829,        5331,
Jeżowe                  2210,        5023,
Jeżów                   1958,        5148,
Jeżów Sudecki           1545,        5056,
Jędrzejów               2018,        5039,
Jodłowa                 2119,        4953,
Jodłownik               2014,        4947,
Joniec                  2035,        5236,
Jonkowo                 2019,        5350,
Jordanów                1950,        4939,
Jordanów Śląski         1652,        5052,
Józefów zamojskie     2304,        5029,
Józefów lubelskie     2151,        5102,
Józefów warszawskie   2114,        5209,
Juchnowiec Dolny        2308,        5301,
Jutrosin                1711,        5138,
Kaczory                 1652,        5307,
Kadzidło                2128,        5314,
Kalety                  1854,        5034,
Kalinowo                2241,        5353,
Kaliska                 1813,        5355,
Kalisz                  1806,        5146,
Kalisz Pomorski         1554,        5317,
Kalwaria Zebrzydowska   1940,        4953,
Kałuszyn                2149,        5213,
Kamienica               2021,        4934,
Kamienica Polska        1909,        5041,
Kamieniec               1627,        5210,
Kamieniec Ząbkowicki    1652,        5032,
Kamienna Góra           1602,        5047,
Kamiennik               1709,        5034,
Kamień rzeszowskie    2209,        5020,
Kamień chełmskie      2335,        5106,
Kamień Koszyrski        2458,        5138,
Kamień Krajeński        1731,        5332,
Kamień Pomorski         1446,        5358,
Kamieńsk                1930,        5113,
Kamionka                2228,        5129,
Kamionka Strumiłowa     2420,        5007,
Kamionka Wielka         2049,        4935,
Kampinos                2028,        5216,
Kańczuga                2225,        4959,
Karczew                 2115,        5204,
Karczmiska              2201,        5114,
Kargowa                 1552,        5204,
Karlino                 1553,        5402,
Karnice                 1503,        5401,
Karniewo                2059,        5250,
Karpacz                 1544,        5047,
Karsin                  1755,        5354,
Kartuzy                 1812,        5420,
Katowice                1900,        5015,
Kawęczyn                1832,        5154,
Kazanów                 2128,        5117,
Kazimierz Biskupi       1810,        5219,
Kazimierz Dolny         2158,        5119,
Kazimierza Wielka       2029,        5016,
Kaźmierz                1635,        5230,
Kąkolewnica Wschodnia   2242,        5154,
Kąty Wrocławskie        1646,        5102,
Kcynia                  1729,        5259,
Kędzierzyn-Koźle        1812,        5021,
Kępice                  1652,        5415,
Kępno                   1759,        5117,
Kęsowo                  1734,        5334,
Kętrzyn                 2123,        5405,
Kęty                    1913,        4953,
Kielce                  2037,        5053,
Kiełczygłów             1859,        5114,
Kiernozia               1952,        5216,
Kietrz                  1801,        5005,
Kije                    2034,        5036,
Kijewo Królewskie       1827,        5316,
Kikół                   1907,        5255,
Kisielice               1915,        5336,
Kiszkowo                1716,        5235,
Kiwerce                 2527,        5050,
Kiwity                  2046,        5406,
Kleczew                 1811,        5222,
Klembów                 2120,        5224,
Kleszczele              2320,        5235,
Kleszczewo              1710,        5220,
Kleszczów               1918,        5113,
Klimontów               2127,        5040,
Klonowa                 1826,        5125,
Kluczbork               1813,        5058,
Klucze                  1934,        5020,
Kluczewsko              1955,        5056,
Kluki                   1914,        5121,
Klukowo                 2231,        5247,
Klwów                   2038,        5132,
Kłaj                    2018,        5000,
Kłecko                  1726,        5237,
Kłobuck                 1856,        5055,
Kłoczew                 2158,        5144,
Kłodawa konińskie     1855,        5215,
Kłodawa gorzowskie    1512,        5247,
Kłodzko                 1639,        5027,
Kłomnice                1922,        5056,
Knurów                  1841,        5013,
Knyszyn                 2255,        5318,
Kobiele Wielkie         1937,        5102,
Kobierzyce              1656,        5058,
Kobryń                  2421,        5213,
Kobyla Góra             1751,        5123,
Kobylanka               1451,        5321,
Kobylin                 1714,        5142,
Kobylin-Borzymy         2241,        5306,
Kobylnica               1659,        5427,
Kobyłka                 2111,        5221,
Kochanowice             1845,        5043,
Kocierzew Południowy    2001,        5214,
Kock                    2227,        5139,
Kocmyrzów-Luborzyca     2006,        5008,
Koczała                 1704,        5354,
Kodeń                   2237,        5155,
Kodrąb                  1938,        5106,
Kolbudy Górne           1827,        5416,
Kolbuszowa              2147,        5014,
Kolno łomżyńskie      2156,        5324,
Kolno olsztyńskie     2100,        5359,
Kolonowskie             1823,        5039,
Kolsko                  1558,        5157,
Koluszki                1949,        5145,
Kołaczkowo              1737,        5213,
Kołaczyce               2126,        4948,
Kołaki Kościelne        2223,        5301,
Kołbaskowo              1425,        5320,
Kołbiel                 2129,        5204,
Kołczygłowy             1714,        5414,
Koło                    1839,        5212,
Kołobrzeg               1534,        5410,
Kołomyja                2504,        4832,
Komańcza                2204,        4921,
Komarów-Osada           2329,        5038,
Komarówka Podlaska      2257,        5148,
Komorniki               1648,        5221,
Komprachcice            1749,        5038,
Konarzyny               1722,        5350,
Kondratowice            1656,        5046,
Koneck                  1843,        5247,
Koniecpol               1941,        5047,
Konin                   1816,        5213,
Koniusza                2013,        5012,
Konopiska               1901,        5044,
Konopnica               1850,        5121,
Konstancin-Jeziorna     2108,        5205,
Konstantynów            2305,        5212,
Konstantynów Łódzki     1920,        5145,
Końskie                 2025,        5112,
Końskowola              2204,        5125,
Koprzywnica             2135,        5036,
Korczew                 2237,        5222,
Korczyna                2149,        4943,
Korfantów               1736,        5029,
Koronowo                1756,        5319,
Korsze                  2108,        5410,
Korytnica               2151,        5225,
Korzenna                2051,        4941,
Kosakowo                1829,        5436,
Kosów Lacki             2209,        5235,
Kostomłoty              1632,        5103,
Kostopol                2626,        5053,
Kostrzyn poznańskie   1713,        5224,
Kostrzyn gorzowskie   1438,        5236,
Koszalin                1611,        5411,
Koszarawa               1924,        4938,
Koszęcin                1851,        5038,
Koszyce                 2034,        5011,
Kościan                 1639,        5205,
Kościelec               1834,        5211,
Kościerzyna             1758,        5407,
Kotla                   1602,        5145,
Kotlin                  1739,        5155,
Kotuń                   2204,        5211,
Kowal                   1909,        5232,
Kowala                  2104,        5119,
Kowale Oleckie          2226,        5410,
Kowalewo                1854,        5310,
Kowalewo Pomorskie      1854,        5310,
Kowary                  1549,        5048,
Kowel                   2441,        5114,
Kowiesy                 2026,        5153,
Koziegłowy              1910,        5036,
Kozielice               1448,        5306,
Kozienice               2133,        5135,
Kozłowo                 2018,        5319,
Kozłów                  2001,        5029,
Kozy                    1909,        4951,
Koźmin                  1727,        5149,
Koźminek                1821,        5148,
Kożuchow                1536,        5145,
Kórnik                  1705,        5215,
Krajenka                1659,        5323,
Kraków                  1957,        5003,
Kraków Krowodrza        1958,        5005,
Kraków Nowa Huta        2005,        5005,
Kraków Podgórze         1955,        5001,
Kraków Śródmieście      1958,        5004,
Kramsk                  1826,        5216,
Krapkowice              1758,        5028,
Krasiczyn               2240,        4947,
Krasne rzeszowskie    2206,        5003,
Krasne ciechanowskie  2059,        5255,
Krasnobród              2314,        5033,
Krasnopol               2312,        5407,
Krasnosielc             2109,        5302,
Krasnystaw              2311,        5059,
Krasocin                2007,        5054,
Kraszewice              1815,        5130,
Kraśniczyn              2322,        5056,
Kraśnik                 2214,        5055,
Krempna                 2131,        4931,
Krobia                  1659,        5147,
Kroczyce                1935,        5034,
Krokowa                 1810,        5446,
Krosno                  2146,        4942,
Krosno Odrzańskie       1506,        5202,
Krościenko nad Dunajcem 2025,        4926,
Krośnice                1722,        5128,
Krośniewice             1910,        5216,
Krotoszyce              1603,        5109,
Krotoszyn               1726,        5141,
Kruklanki               2156,        5405,
